nome,valor_hora,horas_trabalhadas
Sylvester Pawnsford,67.76,21
Retha Argile,69.74,63
Shelbi Townsley,57.95,100
See Cordon,53.21,97
Phoebe Life,52.18,22
Raine Oxbrough,2.51,73
Ekaterina Lindell,96.89,74
Vernen Avis,77.74,62
Gunilla Coleridge,44.43,32
Vasili Babb,55.37,10
Gustavus Filipiak,29.23,100
Fayre McFaul,50.53,27
Gabriellia Disney,65.42,96
Ottilie McGarrell,30.18,4
Kyle Elliot,2.87,84
Ranice Jerzak,41.88,20
Lane Casetti,81.84,15
Keeley Swigger,44.19,70
Hermy Rodge,72.32,42
Zedekiah Bendel,78.74,3
Tristan Plewes,49.2,100
Madelin Minall,7.63,54
Eleanor Wyer,17.33,84
Nikkie Brogden,15.82,6
Drusie Zettler,24.68,65
Rourke Knight,45.41,12
Jasen Wilgar,43.6,64
Padriac Murrison,95.65,49
Corrianne Bursnall,37.98,88
Bibbie Bastin,34.88,11
Karola McShee,99.25,100
Eyde Hoopper,83.69,49
Priscilla Niccolls,65.59,12
Pren Rothschild,82.63,84
Zorana Buck,92.16,90
Nickolai Lidgate,69.83,68
Domeniga Joiris,4.26,68
Arlyne Sim,92.85,100
Ferdinand Penlington,69.07,63
Genevra Jeffcoate,71.1,59
Agna Cosley,45.63,7
Arda Hazeley,42.5,47
Alexine Langhorne,42.0,9
Dale Laughren,1.84,88
Ber Fidelus,84.55,92
Gardiner Sandwich,42.97,100
Felike Cordoba,16.67,55
Sofie Tidd,25.63,90
Darelle Keneford,43.76,10
Lory Trounce,51.71,80
Oliver Camel,25.55,32
Godiva Hawking,42.53,89
Cassie Trouel,62.94,20
Tarrah Wandrack,60.07,14
Dionysus Inglish,60.32,39
Bronnie Tulk,93.76,15
Rachel Crusham,90.82,18
Truman Feronet,13.69,83
Bone Summerskill,94.62,62
Sheffield Simnor,58.08,96
Jarid Mathias,95.9,75
Cassandre Ailsbury,97.67,33
Ericka Brahms,10.71,48
Effie Rosenkrantz,98.38,53
Shayne De Carlo,28.25,96
Scotti Kubu,31.57,83
Gwenore Cardis,47.97,33
Stacy Welman,57.25,51
Gregoire Dome,63.15,30
Brinna Janosevic,43.43,9
Marcellus Le Gassick,54.72,16
Osbourne Plumm,74.76,31
Normy MacNulty,62.4,32
Jedediah Ackred,58.63,80
Mollie Oakenfull,9.92,89
Derek Eade,51.54,86
Lebbie Crush,30.86,71
Catherine Bales,76.68,100
Yalonda Oades,55.66,42
Tarrance Critzen,15.46,84
Winston Blackstone,34.62,43
Aloisia Erlam,16.51,23
Talia Harbertson,89.29,53
Corilla Mishaw,82.94,70
Ring MacConnell,47.54,72
Darcy Slowcock,86.07,65
Devondra Balazin,71.27,33
Gwyn Lillywhite,32.52,2
Tonia Arrigo,65.55,43
Quillan Philipson,97.16,66
Ernesto Luther,81.44,77
Reginald Della Scala,35.2,60
